Followers	TimeDiffInMins
4	31
265	1498
27	13
27	13
27	13
27	13
27	13
27	13
0	139
265	944
265	944
43	456
43	456
23	47
23	47
4	922
4	254
0	29
0	29
0	29
0	105
0	105
0	105
0	105
265	12
52	37
52	37
0	27
0	27
52	107
52	107
52	107
52	107
0	136
0	136
0	136
0	136
27	115
43	110
43	7
265	36
43	0
265	0
265	0
0	1264
17	71
7	0
7	0
477	6
477	6
477	222
0	1096
0	1096
477	0
0	118
27	23
27	23
41	18
6	113
6	113
6	113
6	113
6	113
6	113
265	42
265	42
265	42
265	42
52	0
52	0
80	5
80	5
265	731
265	731
265	0
477	206
265	170
477	9
86	81
477	3482
1	1212
477	802
477	802
477	802
477	802
0	4352
0	4352
0	4352
0	4352
17	97
17	97
14	2476
86	1413
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
477	1377
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
17	6
0	6
0	6
0	6
0	6
477	593
477	593
477	593
477	593
0	9
0	9
0	9
0	9
477	13
477	22
477	22
477	342
477	342
477	157
100	0
477	87
0	1379
0	1809
477	658
477	821
477	821
477	821
477	821
477	821
477	821
477	821
477	2
477	2
477	2
477	1143
4	1141
477	63
477	63
477	63
477	63
477	63
477	63
477	63
477	63
477	63
6	719
6	39
6	39
265	5
52	35
52	35
52	35
265	90
265	90
265	90
265	90
470	5
470	5
470	5
52	33
52	33
470	69
470	69
43	1
40	6
40	6
470	277
470	277
3	9
3	9
265	2623
40	0
40	0
40	0
40	0
470	1517
470	1517
470	1517
470	1517
3	1504
3	1504
3	1504
3	1504
52	49
265	1
265	1
40	55
40	55
27	16
27	16
0	24
27	0
27	0
27	0
470	1561
0	33
0	979
43	20
43	20
43	20
43	20
43	20
43	20
43	20
43	20
0	1974
40	2498
40	101
40	101
40	101
82	220
82	220
470	79
470	79
470	79
470	79
470	79
470	79
470	79
470	79
40	1180
40	1180
40	1180
40	1180
40	1180
40	1180
40	1180
40	1180
470	108
470	108
470	108
470	108
40	1099
40	1099
40	1099
40	1099
2	0
2	0
2	2029
470	1925
9	1729
470	1551
40	260
0	14
16	5
16	5
3	0
470	33
265	31
265	969
470	87
0	71
100	8726
1	369
1	32
470	220
0	148
470	7
470	7
470	7
1	581
1	581
1	581
1	480
1	480
1	480
470	37
1	-55
35	5008
35	5008
35	5008
35	5008
35	5008
35	5008
35	5008
35	5008
35	27
35	27
40	37
40	37
470	51
9	110
470	87
470	87
9	75
9	75
265	358
35	7
9	17
9	13
9	20
9	111
470	75
470	75
4	33
4	33
35	14
35	14
9	3967
9	3967
265	1071
40	0
9	109
35	199
265	10
265	10
470	33
470	33
470	101
470	101
470	101
3	464
3	464
3	464
35	371
265	867
265	867
47	0
35	0
35	0
40	34
40	34
40	34
40	34
470	94
470	94
265	205
265	205
16	1
16	78
4	34351
4	34351
9	1008
470	708
0	969
0	790
9	11
9	11
9	6
9	6
470	3438
470	306
470	793
470	793
35	7
35	7
35	41
265	130
265	130
265	130
35	52
16	98
40	0
52	22
52	22
35	0
40	1289
40	1289
470	65
470	17922
470	17922
35	0
78	0
78	0
40	0
40	5906
40	11
40	11
40	11
40	11
40	11
40	11
40	11
470	24
4	1698
265	0
265	0
265	0
265	0
265	0
265	0
40	22
40	22
40	22
470	1869
470	1869
9	1816
9	1816
16	13
16	13
16	13
16	13
16	6
16	6
16	0
16	0
52	2
265	388
35	57
16	1498
265	38
16	51
11	114
35	532
35	10
35	10
35	10
35	10
265	233
35	4
35	4
54	33
35	0
95	1077
40	41
27	5193
27	5193
43	34
43	278
43	278
43	278
43	21
43	21
95	61
95	61
95	61
95	61
0	57
0	57
0	57
0	57
265	124
265	124
43	1
52	27
52	27
52	18
52	108
52	108
40	2672
40	94
16	600
34	82
27	0
27	0
27	0
95	217
52	97
52	97
0	38
95	5
95	5
95	5
95	5
0	2
52	71
27	8
95	5
27	234
27	234
40	0
40	0
40	0
40	0
40	0
40	0
40	242
40	242
68	0
68	0
68	0
68	0
68	0
68	0
265	188
265	188
265	188
43	10
43	73
43	1393
43	1393
265	7
68	0
68	0
14	54
40	27
40	457
40	457
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
11	0
4	4
4	4
4	4
4	4
4	4
4	4
43	2683
43	2683
43	2683
52	1
52	1
52	2331
52	2331
52	2331
52	2331
52	2331
43	0
40	2
265	78
265	257
265	257
3	214
3	214
43	2
43	2
43	2
4	13
4	13
4	31
4	31
4	31
4	31
