bugLineNum	totalNumLinesInFile
184	246
31	36
31	36
26	412
26	412
56	60
56	60
111	246
225	1026
1212	4046
1212	4046
35	75
171	411
171	411
156	494
156	494
174	494
174	494
73	328
80	328
91	1023
91	1023
91	352
91	352
1600	1650
90	1650
109	114
109	114
129	159
129	159
293	506
185	486
189	486
185	486
189	486
336	483
336	483
335	486
335	486
335	486
439	505
439	505
35	40
73	110
74	110
105	121
105	121
34	40
74	110
72	108
67	183
67	183
71	183
71	183
31	68
48	68
31	68
48	68
30	151
139	146
141	146
1070	1434
1075	1434
108	331
159	331
173	331
117	149
117	149
30	64
188	438
188	438
38	223
38	223
91	223
91	223
140	339
140	339
78	132
38	64
38	64
35	64
35	64
107	243
107	243
176	321
176	321
179	321
179	321
182	321
182	321
78	129
78	129
146	178
146	178
53	98
55	98
629	853
103	201
105	201
113	201
115	201
123	201
125	201
133	201
135	201
62	96
24	118
578	909
578	909
66	102
105	223
61	76
179	1304
148	207
148	207
130	318
51	282
139	282
139	282
47	122
47	122
48	122
48	122
1212	1689
450	1689
457	1689
242	1390
242	1390
1071	1360
1071	1360
60	103
366	405
366	405
1507	3581
114	3581
77	86
77	86
46	92
123	140
123	140
123	140
123	140
123	140
123	140
115	418
81	152
81	152
36	97
83	97
51	76
250	360
365	443
367	443
378	443
27	89
27	89
27	89
140	282
140	282
142	282
142	282
144	282
144	282
147	282
147	282
204	812
466	535
299	529
306	529
313	529
71	130
71	130
92	349
92	349
106	349
106	349
61	349
61	349
64	349
64	349
92	349
92	349
106	349
106	349
61	349
61	349
64	349
64	349
92	349
92	349
106	349
106	349
92	349
92	349
106	349
106	349
43	105
181	335
100	425
96	767
96	767
1382	3247
1382	3247
56	241
78	389
78	389
85	169
201	205
201	205
31	2458
40	54
40	54
39	83
140	161
140	161
29	97
29	97
80	207
131	207
171	207
80	207
131	207
171	207
80	207
131	207
171	207
62	230
62	230
96	166
96	166
47	166
47	166
73	166
73	166
97	166
97	166
33	149
33	149
122	216
122	216
297	529
297	529
297	529
297	529
297	529
297	529
98	503
41	182
1210	2853
1229	2811
43	55
398	1868
74	168
74	168
74	168
74	168
29	122
16	122
189	827
189	827
26	99
442	749
1211	2901
30	45
33	1196
35	1196
252	723
252	723
57	523
58	523
83	523
57	523
58	523
83	523
396	537
309	2786
78	2786
3049	3223
148	476
178	476
77	114
77	114
81	114
81	114
283	551
283	551
70	141
81	141
276	331
275	330
468	584
468	584
412	730
59	166
168	349
59	166
105	90
105	90
132	391
132	391
52	193
58	108
154	751
187	751
261	276
261	276
244	748
2297	2620
2304	2620
2532	2620
204	249
21	120
130	227
67	108
67	108
188	284
54	98
54	98
127	41
214	481
214	481
82	110
148	171
118	171
266	323
38	65
38	218
113	218
117	218
178	218
182	218
196	218
201	218
140	149
140	149
103	604
106	604
109	604
132	604
141	604
150	604
392	445
54	445
66	445
173	186
173	186
173	186
173	186
27	96
27	96
28	96
28	96
100	121
96	121
101	268
101	268
113	236
187	84
187	348
257	348
257	348
257	348
128	142
616	630
434	577
434	577
444	577
444	577
457	631
745	780
756	780
60	201
126	136
262	616
261	614
86	288
86	288
326	838
93	150
93	150
236	150
29	150
153	150
93	235
118	235
195	235
224	235
93	235
118	235
195	235
224	235
75	95
75	95
95	156
98	157
98	157
71	86
170	742
170	742
282	338
282	338
282	338
224	345
325	484
327	484
340	484
90	227
289	375
293	375
45	67
101	321
101	321
147	321
147	321
53	111
441	147
441	147
131	250
73	125
73	125
68	125
68	125
156	125
156	125
115	125
115	125
73	125
73	125
24	98
24	98
24	98
24	98
24	98
24	98
47	72
203	72
101	72
247	251
149	171
145	171
149	171
35	94
28	86
29	86
1343	1557
89	323
188	285
188	285
531	1219
531	1219
534	1219
534	1219
536	1219
536	1219
539	1219
539	1219
908	1219
908	1219
114	121
114	121
116	121
116	121
118	121
118	121
104	240
190	240
50	240
160	244
170	244
124	341
160	341
234	341
294	341
321	341
128	202
215	532
319	341
86	161
97	161
86	161
97	161
107	287
113	287
113	287
160	244
170	244
120	339
156	339
231	339
292	339
319	339
38	346
258	663
258	663
285	663
285	663
548	663
548	663
616	727
295	905
295	905
295	905
295	905
236	157
254	157
935	993
231	269
196	564
203	564
207	564
500	993
720	993
935	993
954	993
151	156
334	1050
334	1050
334	1050
334	1050
209	305
209	305
38	305
38	305
209	305
209	305
38	305
38	305
35	165
35	165
237	257
178	193
28	98
33	716
33	716
98	182
300	522
124	152
130	152
119	261
119	261
190	233
119	261
119	261
62	86
62	86
71	82
71	82
58	143
76	105
80	105
